Ratio_6h	Ratio_12h	Ratio_18h	Ratio_24h	Ratio_30h
5S_rRNA	0.507787653489072	0.729145780076197	0.528741311213418	0.0430955594643421	0.202550479623356
7SK	0.436998529998259	0.100558004781203	-0.5651032296954	-0.293520857091073	-0.892517207444027
A1BG	0.519538531941533	0.504484139788471	0.648147723093425	0.416187621038392	0.941636815378381
A2LD1	0.668934017876367	0.32001051288701	0.720691688024716	0.604214446561909	0.914975835205483
AAAS	0.227057326752461	0.00997072076674044	-0.120373061153846	-0.0675436602961773	0.101335484586643
AACS	0.352176648229768	0.419408993027223	0.61876634627808	0.537024144501789	0.888871637409493
AADACL1	-0.0690358807953564	0.43302404546718	0.41420301660672	0.451539908615955	0.196878069767258
AAGAB	-0.433882093928796	-0.24344241307277	-0.27634737178404	0.0283578557638566	-0.261990035531713
AAK1	0.290497078566144	1.68607744809837	1.2436425706982	0.159527652176441	0.55333674433647
AAMP	0.0064251286711557	-0.0770097034283496	-0.0587744577272069	0.018834943516261	0.169353875973977
AARS	0.159504841011341	-0.0314136377339935	-0.18780809623657	-0.0676399550293206	-0.0535739891431409
AARS2	0.0556113837337636	-0.236670296784139	-0.187191220905485	-0.349642501850075	0.021358819181572
AARSD1	0.139909061467898	-0.381037719194814	-0.25773791012125	0.00993820241317466	0.0936041618147336
AASDH	-0.0874364944382941	-0.0872936492733594	-0.175516655238804	-0.0297564578476754	-0.355788038130285
AASDHPPT	-0.540812305806637	-0.579672210226042	-0.437760102448045	-0.0864250349217358	-0.502726372658165
AATF	-0.126502157596973	-0.454242927457476	-0.326182998427433	-0.0822304947526341	-0.0473848447834248
AB019438.63	0.67874743829167	0.503894430977776	-0.231778553869158	-0.884225205345583	-0.733914546264277
AB019439.2	2.05826733715482	2.02467578600881	2.50385026007731	1.51096234323769	0.380860657567033
AB019441.29	-0.254415677433384	-0.17638233573855	0.0893135248742486	0.130467339540516	-0.329109583797098
ABAT	0.156740355207495	1.20081036550669	1.31003054904405	1.01205386723673	1.22317370734151
ABCA1	0.00527862903940275	0.284269003809888	0.134123061618773	-0.1932891531369	-0.261105664917711
ABCA2	0.395364041194232	0.729734414984061	1.17131644183984	1.02353740555009	1.52720493607933
ABCA5	-0.0995964908826841	0.573722399341308	0.641811227119748	0.692194281099739	0.321486582296823
ABCA7	0.544719365688734	1.0373569378759	1.10662901956032	0.454553875167548	1.0361499906845
ABCB10	-0.0796599802702437	-0.281073899170491	-0.249472142638369	0.0549738993902109	-0.14640624757003
ABCB6	0.348302861062271	0.130764937303707	0.332021461581613	0.157878671041958	0.441673091048648
ABCB7	-0.00904781291047028	-0.0673128292118259	-0.187370919552023	0.00531824152704533	-0.339342962851136
ABCB8	0.423434253665162	0.442145336903558	0.473877088973017	0.230340456452933	0.742393056021646
ABCB9	-0.162400761653378	-0.893503327797724	-0.402207190403674	-0.370765635448932	-0.0415086132914808
ABCC1	0.188172488717213	-0.329238197385487	-0.213302001249893	-0.313730379237721	0.136010613376619
ABCC10	0.311727003806997	0.676643139017541	0.808000628954109	0.315464102324351	0.943731844858889
ABCC2	-1.03064506464053	-0.116108764305352	0.209234669225964	0.0444623959090985	0.136625263639136
ABCC4	-0.140435499383381	-0.152130551776189	0.0836746030646641	0.203880405540012	0.280920073082997
ABCC5	-0.146244394607777	0.327832302679945	0.369628684578868	0.153145028263244	0.19434972732988
ABCD1	0.192181741476956	0.172003049808108	0.6146260842661	0.397237125724986	1.19994923864307
ABCD3	-0.422616313075825	-0.172299325343373	-0.293309587235719	-0.114438773289776	-0.389354645377076
ABCD4	0.201725455335797	0.185778404713476	0.0935428033401355	-0.0373254049036239	0.14061172510016
ABCE1	-0.488620444405571	-0.841949907012852	-0.513698932384539	-0.276960698092292	-0.70269631266942
ABCF1	-0.158132538939092	-0.473376732359438	-0.486778339611191	-0.354743255649652	-0.286833116130076
ABCF2	-0.273413174916652	-0.567753612559432	-0.285641164012983	-0.238315621285064	-0.110512879033376
ABCF3	0.488872217967836	0.205890054993846	0.133801739277641	0.215683725699798	0.467719236002163
ABCG1	0.527789301166855	-0.144907796317852	0.232842698244325	0.109815682146405	0.424991910031814
ABCG4	0.75382327522758	1.44327161404383	1.28061496264747	1.19150267743985	1.41965815460611
ABHD10	-0.288378571694964	-0.370856926665984	-0.256590012384883	0.0327417083725407	-0.352548938285048
ABHD11	0.423383798063655	-0.164508249009014	-0.185618009058996	-0.0948137868748522	0.0964843163978631
ABHD12	0.197627458579763	-0.0631092032198783	0.26258590450266	0.394274403926882	0.59607725297615
ABHD13	-0.539029143975231	-0.103980423055025	-0.10781321954119	-0.0425095298795607	-0.640873294828792
ABHD14A	0.394890715426827	-0.109719080796305	0.466804215008916	0.723543184543254	0.695287682254175
ABHD14B	0.418943395591782	0.702979469224426	0.677233927065713	0.545887852337118	0.590203146640127
ABHD15	0.389919841997423	0.0809585483067925	0.146791300974055	0.205330818066741	0.278824015441102
ABHD2	-0.0110277203446967	0.246628033430843	-0.0415679499497643	-0.0132200810968112	0.0382705493380669
ABHD3	-0.123898024673604	0.303041207045527	-0.0183559908567083	0.232065190872658	-0.0125316285004695
ABHD4	0.632864730512428	1.85567228280902	1.1719657762513	1.22083091133898	1.15417782480957
ABHD5	-0.138229314031217	-0.125415502687267	-0.38219902633642	-0.0828121332605826	-0.215832174865655
ABHD6	0.0603893837798684	0.286201267193248	0.636927872144223	0.644404284358883	0.718170303213166
ABHD8	0.671880128069306	0.429029793926236	0.834432013784654	0.35639201176451	0.455433517796794
ABI1	-0.0904884596230608	-0.118314779326869	-0.336768783777481	-0.228665573123542	-0.464954079125638
ABI2	-0.240844255300382	0.199295730670069	-0.210974863972464	-0.168999799708506	-0.29045284488575
